Job Category,Candidate,Actual Category,Fit Score
ADVOCATE,15535920.pdf,CONSULTANT,0.149
ACCOUNTANT,22675694.pdf,DESIGNER,0.149
ACCOUNTANT,49937469.pdf,HR,0.149
INFORMATION-TECHNOLOGY,20082776.pdf,ACCOUNTANT,0.149
PUBLIC-RELATIONS,27624540.pdf,SALES,0.149
BUSINESS-DEVELOPMENT,11130200.pdf,FITNESS,0.149
INFORMATION-TECHNOLOGY,21265194.pdf,HR,0.149
PUBLIC-RELATIONS,20006992.pdf,AGRICULTURE,0.149
DIGITAL-MEDIA,28325193.pdf,ARTS,0.149
BPO,17407184.pdf,ACCOUNTANT,0.149
ENGINEERING,18264694.pdf,AGRICULTURE,0.149
CONSTRUCTION,25959103.pdf,INFORMATION-TECHNOLOGY,0.149
BANKING,13586069.pdf,CONSULTANT,0.149
BANKING,26167298.pdf,CONSULTANT,0.149
PUBLIC-RELATIONS,29639533.pdf,TEACHER,0.149
PUBLIC-RELATIONS,34465087.pdf,TEACHER,0.149
ARTS,16276121.pdf,DIGITAL-MEDIA,0.149
TEACHER,12192507.pdf,AVIATION,0.149
AUTOMOBILE,19124258.pdf,ENGINEERING,0.149
APPAREL,25656981.pdf,CONSTRUCTION,0.149
APPAREL,13593241.pdf,ADVOCATE,0.149
BUSINESS-DEVELOPMENT,29332616.pdf,SALES,0.149
AVIATION,29196643.pdf,CONSULTANT,0.149
AVIATION,30863060.pdf,CONSULTANT,0.149
CHEF,13764840.pdf,APPAREL,0.149
ARTS,15479281.pdf,APPAREL,0.149
ADVOCATE,25207620.pdf,INFORMATION-TECHNOLOGY,0.149
INFORMATION-TECHNOLOGY,99033098.pdf,ARTS,0.149
DIGITAL-MEDIA,98389424.pdf,AVIATION,0.149
DESIGNER,38989376.pdf,AVIATION,0.149
PUBLIC-RELATIONS,18856440.pdf,CONSULTANT,0.149
DESIGNER,37764298.pdf,INFORMATION-TECHNOLOGY,0.149
ADVOCATE,20850529.pdf,BANKING,0.149
FITNESS,14140903.pdf,AGRICULTURE,0.149
TEACHER,16509761.pdf,DIGITAL-MEDIA,0.149
HEALTHCARE,19532392.pdf,AGRICULTURE,0.149
INFORMATION-TECHNOLOGY,17488801.pdf,ENGINEERING,0.149
BPO,38707449.pdf,BPO,0.149
BPO,31761591.pdf,APPAREL,0.149
BUSINESS-DEVELOPMENT,35579812.pdf,HEALTHCARE,0.149
ENGINEERING,12351749.pdf,SALES,0.149
ADVOCATE,93988900.pdf,HEALTHCARE,0.149
BPO,27902692.pdf,AVIATION,0.149
ACCOUNTANT,13809698.pdf,ADVOCATE,0.149
BPO,26994282.pdf,SALES,0.149
ENGINEERING,56792999.pdf,CONSULTANT,0.149
APPAREL,61634281.pdf,FINANCE,0.149
APPAREL,24221960.pdf,CHEF,0.149
HEALTHCARE,14014749.pdf,DESIGNER,0.149
DESIGNER,27018550.pdf,HR,0.149
ACCOUNTANT,11676151.pdf,AGRICULTURE,0.149
ACCOUNTANT,23296286.pdf,SALES,0.149
INFORMATION-TECHNOLOGY,25162378.pdf,BANKING,0.149
BPO,31605080.pdf,AVIATION,0.149
BUSINESS-DEVELOPMENT,36861863.pdf,HEALTHCARE,0.149
ADVOCATE,35344611.pdf,ADVOCATE,0.149
PUBLIC-RELATIONS,17539842.pdf,HEALTHCARE,0.149
ACCOUNTANT,18354623.pdf,DIGITAL-MEDIA,0.149
ACCOUNTANT,21904897.pdf,CHEF,0.149
FITNESS,37739183.pdf,DIGITAL-MEDIA,0.149
ACCOUNTANT,11332602.pdf,FITNESS,0.149
BPO,95085510.pdf,FITNESS,0.149
HR,12544735.pdf,ADVOCATE,0.149
ARTS,61579998.pdf,ENGINEERING,0.149
ADVOCATE,26048718.pdf,HR,0.149
PUBLIC-RELATIONS,18297650.pdf,HR,0.149
TEACHER,36625776.pdf,HEALTHCARE,0.149
INFORMATION-TECHNOLOGY,24668861.pdf,AVIATION,0.149
BANKING,35474904.pdf,ADVOCATE,0.149
HR,43378989.pdf,CONSULTANT,0.149
BPO,98348532.pdf,BANKING,0.149
ACCOUNTANT,15823995.pdf,AVIATION,0.149
BUSINESS-DEVELOPMENT,14874322.pdf,AVIATION,0.149
HEALTHCARE,28635795.pdf,ADVOCATE,0.149
INFORMATION-TECHNOLOGY,28975482.pdf,PUBLIC-RELATIONS,0.149
INFORMATION-TECHNOLOGY,12237267.pdf,PUBLIC-RELATIONS,0.149
DESIGNER,19285236.pdf,CHEF,0.149
APPAREL,28326441.pdf,DESIGNER,0.149
FINANCE,25625173.pdf,AVIATION,0.149
ADVOCATE,25905275.pdf,INFORMATION-TECHNOLOGY,0.149
INFORMATION-TECHNOLOGY,25397102.pdf,BUSINESS-DEVELOPMENT,0.149
CHEF,11842348.pdf,BANKING,0.149
HR,62312955.pdf,DESIGNER,0.149
ENGINEERING,28086303.pdf,TEACHER,0.149
BUSINESS-DEVELOPMENT,14879257.pdf,ARTS,0.149
BUSINESS-DEVELOPMENT,18885767.pdf,ARTS,0.149
CHEF,99680385.pdf,AUTOMOBILE,0.149
BUSINESS-DEVELOPMENT,81588968.pdf,AVIATION,0.149
FINANCE,20026169.pdf,AVIATION,0.149
ADVOCATE,54308684.pdf,APPAREL,0.149
INFORMATION-TECHNOLOGY,33176873.pdf,HR,0.149
ENGINEERING,11020140.pdf,CONSULTANT,0.149
CHEF,37242217.pdf,INFORMATION-TECHNOLOGY,0.148
BANKING,73497035.pdf,ARTS,0.148
ENGINEERING,27573855.pdf,ACCOUNTANT,0.148
ARTS,11088337.pdf,BUSINESS-DEVELOPMENT,0.148
HEALTHCARE,17499196.pdf,AGRICULTURE,0.148
TEACHER,29640922.pdf,APPAREL,0.148
DESIGNER,18365443.pdf,HEALTHCARE,0.148
HR,19285236.pdf,CHEF,0.148
AGRICULTURE,29091445.pdf,HR,0.148
TEACHER,12669075.pdf,APPAREL,0.148
BANKING,29521434.pdf,APPAREL,0.148
ENGINEERING,35673335.pdf,BUSINESS-DEVELOPMENT,0.148
HR,18640927.pdf,FINANCE,0.148
CHEF,23617240.pdf,HEALTHCARE,0.148
FINANCE,23864858.pdf,DIGITAL-MEDIA,0.148
CHEF,25023614.pdf,DESIGNER,0.148
DESIGNER,28092317.pdf,CHEF,0.148
AVIATION,10568350.pdf,FITNESS,0.148
HR,20255404.pdf,FITNESS,0.148
HR,14014749.pdf,DESIGNER,0.148
INFORMATION-TECHNOLOGY,25724495.pdf,HR,0.148
CONSTRUCTION,20255404.pdf,FITNESS,0.148
ADVOCATE,69859102.pdf,AGRICULTURE,0.148
APPAREL,30862904.pdf,HR,0.148
SALES,43378989.pdf,CONSULTANT,0.148
DIGITAL-MEDIA,12635195.pdf,INFORMATION-TECHNOLOGY,0.148
BPO,23914451.pdf,HR,0.148
HR,28176889.pdf,CHEF,0.148
TEACHER,36331163.pdf,CONSTRUCTION,0.148
BUSINESS-DEVELOPMENT,18001081.pdf,TEACHER,0.148
CHEF,65062795.pdf,CONSULTANT,0.148
APPAREL,32308556.pdf,HR,0.148
CONSTRUCTION,27573855.pdf,ACCOUNTANT,0.148
CONSULTANT,10276858.pdf,CHEF,0.148
FITNESS,17658471.pdf,FITNESS,0.148
INFORMATION-TECHNOLOGY,41523474.pdf,HR,0.148
DIGITAL-MEDIA,30097175.pdf,ENGINEERING,0.148
DIGITAL-MEDIA,10840430.pdf,INFORMATION-TECHNOLOGY,0.148
CHEF,12860543.pdf,APPAREL,0.148
CHEF,29406313.pdf,BANKING,0.148
ENGINEERING,11580408.pdf,INFORMATION-TECHNOLOGY,0.148
BANKING,69859102.pdf,AGRICULTURE,0.148
BANKING,32441790.pdf,PUBLIC-RELATIONS,0.148
BPO,24773845.pdf,AVIATION,0.148
BANKING,10344379.pdf,ADVOCATE,0.148
ADVOCATE,12545844.pdf,PUBLIC-RELATIONS,0.148
CONSTRUCTION,23810469.pdf,DIGITAL-MEDIA,0.148
AGRICULTURE,28139742.pdf,SALES,0.148
BPO,17576030.pdf,FITNESS,0.148
ARTS,99244405.pdf,TEACHER,0.148
ADVOCATE,37375999.pdf,PUBLIC-RELATIONS,0.148
TEACHER,32219038.pdf,HEALTHCARE,0.148
CHEF,16038911.pdf,FITNESS,0.148
BANKING,13909762.pdf,ADVOCATE,0.148
ARTS,24946537.pdf,ADVOCATE,0.148
SALES,23568731.pdf,CHEF,0.148
FITNESS,87520378.pdf,HEALTHCARE,0.148
DESIGNER,18480859.pdf,CHEF,0.148
BANKING,26908066.pdf,HEALTHCARE,0.148
SALES,24673903.pdf,CHEF,0.148
DIGITAL-MEDIA,13807808.pdf,APPAREL,0.148
CHEF,17274759.pdf,AVIATION,0.148
CHEF,31162167.pdf,DIGITAL-MEDIA,0.148
PUBLIC-RELATIONS,70892619.pdf,TEACHER,0.148
BANKING,21101152.pdf,CHEF,0.148
SALES,16426777.pdf,FINANCE,0.148
CHEF,29196643.pdf,CONSULTANT,0.148
ADVOCATE,12019284.pdf,FITNESS,0.148
BPO,11152490.pdf,AUTOMOBILE,0.148
ARTS,11635137.pdf,PUBLIC-RELATIONS,0.148
HR,74522938.pdf,CHEF,0.148
ACCOUNTANT,24349611.pdf,ARTS,0.148
FINANCE,13080868.pdf,BUSINESS-DEVELOPMENT,0.148
CHEF,13195436.pdf,AVIATION,0.148
DESIGNER,28051330.pdf,BANKING,0.148
BANKING,28230807.pdf,CHEF,0.148
SALES,24658786.pdf,DIGITAL-MEDIA,0.148
ADVOCATE,98509238.pdf,SALES,0.148
ENGINEERING,19774173.pdf,FITNESS,0.148
PUBLIC-RELATIONS,12491898.pdf,CONSTRUCTION,0.148
PUBLIC-RELATIONS,18365791.pdf,ACCOUNTANT,0.148
CHEF,12814706.pdf,BUSINESS-DEVELOPMENT,0.148
INFORMATION-TECHNOLOGY,14761906.pdf,DIGITAL-MEDIA,0.148
CONSTRUCTION,18885231.pdf,SALES,0.148
BPO,26691587.pdf,APPAREL,0.148
CHEF,39569771.pdf,BANKING,0.148
HR,10624813.pdf,ENGINEERING,0.148
HR,12442909.pdf,ACCOUNTANT,0.148
BPO,23190306.pdf,APPAREL,0.148
BPO,56025640.pdf,APPAREL,0.148
HR,27502951.pdf,AVIATION,0.148
HR,38355831.pdf,AVIATION,0.148
FITNESS,27419236.pdf,DIGITAL-MEDIA,0.148
BPO,74236636.pdf,ENGINEERING,0.148
HEALTHCARE,26410763.pdf,ARTS,0.148
HEALTHCARE,67631413.pdf,AVIATION,0.148
ARTS,99680385.pdf,AUTOMOBILE,0.148
FITNESS,13173522.pdf,BANKING,0.148
CHEF,20490741.pdf,DIGITAL-MEDIA,0.148
HEALTHCARE,36434348.pdf,INFORMATION-TECHNOLOGY,0.148
CHEF,93512385.pdf,ADVOCATE,0.148
DESIGNER,18472240.pdf,CONSTRUCTION,0.148
BPO,16210888.pdf,TEACHER,0.148
SALES,32265203.pdf,CONSTRUCTION,0.148
BANKING,22675694.pdf,DESIGNER,0.148
HEALTHCARE,38047274.pdf,AVIATION,0.148
AVIATION,99714410.pdf,CONSULTANT,0.148
BPO,14256329.pdf,HR,0.148
BPO,17412079.pdf,HR,0.148
HR,11773925.pdf,BANKING,0.148
BUSINESS-DEVELOPMENT,21622444.pdf,CHEF,0.148
BPO,36671891.pdf,PUBLIC-RELATIONS,0.148
BPO,21386255.pdf,PUBLIC-RELATIONS,0.148
CONSTRUCTION,27000192.pdf,PUBLIC-RELATIONS,0.148
BANKING,24508725.pdf,HR,0.148
BPO,18365791.pdf,ACCOUNTANT,0.148
BPO,28359817.pdf,ACCOUNTANT,0.148
HR,10674770.pdf,ACCOUNTANT,0.148
ARTS,22380187.pdf,DIGITAL-MEDIA,0.148
ENGINEERING,15210069.pdf,AUTOMOBILE,0.148
AGRICULTURE,20817322.pdf,CHEF,0.148
ARTS,13328680.pdf,DIGITAL-MEDIA,0.148
BUSINESS-DEVELOPMENT,14708590.pdf,ADVOCATE,0.148
DESIGNER,31850269.pdf,CONSTRUCTION,0.148
DESIGNER,12442909.pdf,ACCOUNTANT,0.148
HR,59346975.pdf,PUBLIC-RELATIONS,0.148
AGRICULTURE,23527321.pdf,INFORMATION-TECHNOLOGY,0.148
DESIGNER,35389360.pdf,ENGINEERING,0.148
ADVOCATE,78257294.pdf,ACCOUNTANT,0.148
ACCOUNTANT,14556869.pdf,DIGITAL-MEDIA,0.148
DIGITAL-MEDIA,34797369.pdf,BUSINESS-DEVELOPMENT,0.148
HR,21386255.pdf,PUBLIC-RELATIONS,0.148
AVIATION,29134721.pdf,SALES,0.148
DESIGNER,30529547.pdf,SALES,0.148
SALES,30813919.pdf,ACCOUNTANT,0.148
CONSTRUCTION,37739183.pdf,DIGITAL-MEDIA,0.148
CONSTRUCTION,13837784.pdf,DIGITAL-MEDIA,0.148
BUSINESS-DEVELOPMENT,18586076.pdf,ARTS,0.148
AUTOMOBILE,51415089.pdf,PUBLIC-RELATIONS,0.148
BUSINESS-DEVELOPMENT,24983760.pdf,ARTS,0.148
ARTS,85101052.pdf,DESIGNER,0.148
AVIATION,28762662.pdf,ENGINEERING,0.148
ACCOUNTANT,15680735.pdf,HEALTHCARE,0.148
HEALTHCARE,20279756.pdf,FITNESS,0.148
BPO,34046031.pdf,BUSINESS-DEVELOPMENT,0.148
INFORMATION-TECHNOLOGY,47133747.pdf,ADVOCATE,0.148
TEACHER,25926667.pdf,ARTS,0.148
ENGINEERING,43408471.pdf,AVIATION,0.148
SALES,81508860.pdf,DIGITAL-MEDIA,0.148
HR,18900722.pdf,DIGITAL-MEDIA,0.148
ENGINEERING,15684810.pdf,AVIATION,0.148
CHEF,15651486.pdf,INFORMATION-TECHNOLOGY,0.148
INFORMATION-TECHNOLOGY,12858898.pdf,FINANCE,0.148
HR,23864858.pdf,DIGITAL-MEDIA,0.148
AVIATION,26961846.pdf,FINANCE,0.148
FINANCE,69097572.pdf,BPO,0.148
ACCOUNTANT,27243670.pdf,CONSTRUCTION,0.148
FITNESS,16279537.pdf,AVIATION,0.148
FINANCE,50324968.pdf,APPAREL,0.148
DESIGNER,11653906.pdf,HEALTHCARE,0.148
BPO,20255404.pdf,FITNESS,0.148
ACCOUNTANT,22551979.pdf,TEACHER,0.148
AVIATION,13405733.pdf,INFORMATION-TECHNOLOGY,0.148
HR,17165107.pdf,ADVOCATE,0.148
PUBLIC-RELATIONS,24025053.pdf,HEALTHCARE,0.148
ARTS,15973307.pdf,SALES,0.148
TEACHER,29399491.pdf,SALES,0.148
TEACHER,17509935.pdf,SALES,0.148
TEACHER,13037145.pdf,FITNESS,0.148
BANKING,41523474.pdf,HR,0.148
BPO,11958994.pdf,DESIGNER,0.148
CHEF,62071407.pdf,ENGINEERING,0.147
FITNESS,16132195.pdf,HEALTHCARE,0.147
HR,13418452.pdf,APPAREL,0.147
HR,22056333.pdf,TEACHER,0.147
BANKING,20490741.pdf,DIGITAL-MEDIA,0.147
CONSTRUCTION,11183737.pdf,BPO,0.147
ADVOCATE,50775901.pdf,AVIATION,0.147
BUSINESS-DEVELOPMENT,34419403.pdf,AVIATION,0.147
BPO,77638654.pdf,FINANCE,0.147
AVIATION,29306433.pdf,FITNESS,0.147
PUBLIC-RELATIONS,23573064.pdf,FINANCE,0.147
BANKING,48037995.pdf,INFORMATION-TECHNOLOGY,0.147
ARTS,13675377.pdf,FITNESS,0.147
CONSULTANT,16270906.pdf,TEACHER,0.147
AVIATION,41950126.pdf,ARTS,0.147
BANKING,13998435.pdf,DESIGNER,0.147
HR,20932019.pdf,DESIGNER,0.147
SALES,12377803.pdf,BUSINESS-DEVELOPMENT,0.147
AVIATION,17686472.pdf,AVIATION,0.147
HEALTHCARE,31199035.pdf,SALES,0.147
ACCOUNTANT,38860712.pdf,ADVOCATE,0.147
CHEF,24953921.pdf,DIGITAL-MEDIA,0.147
CONSTRUCTION,16511249.pdf,SALES,0.147
INFORMATION-TECHNOLOGY,16332293.pdf,AUTOMOBILE,0.147
DESIGNER,23918545.pdf,HEALTHCARE,0.147
CHEF,35164503.pdf,FITNESS,0.147
FITNESS,17570634.pdf,CONSTRUCTION,0.147
DESIGNER,10466208.pdf,HEALTHCARE,0.147
ADVOCATE,21238396.pdf,FITNESS,0.147
DESIGNER,10333299.pdf,CHEF,0.147
HR,54180474.pdf,ARTS,0.147
FITNESS,11616482.pdf,TEACHER,0.147
DESIGNER,49285644.pdf,TEACHER,0.147
DESIGNER,38642923.pdf,FITNESS,0.147
HEALTHCARE,32636041.pdf,FITNESS,0.147
BPO,27888251.pdf,AGRICULTURE,0.147
DESIGNER,11333660.pdf,CONSULTANT,0.147
HR,14990354.pdf,BUSINESS-DEVELOPMENT,0.147
TEACHER,57262959.pdf,CHEF,0.147
BANKING,20314980.pdf,CONSULTANT,0.147
TEACHER,51769822.pdf,HR,0.147
FITNESS,29061628.pdf,CONSTRUCTION,0.147
ADVOCATE,13583538.pdf,TEACHER,0.147
APPAREL,13173522.pdf,BANKING,0.147
INFORMATION-TECHNOLOGY,10926726.pdf,PUBLIC-RELATIONS,0.147
ADVOCATE,13129275.pdf,PUBLIC-RELATIONS,0.147
TEACHER,12839152.pdf,CONSTRUCTION,0.147
FINANCE,51769822.pdf,HR,0.147
INFORMATION-TECHNOLOGY,19612167.pdf,ENGINEERING,0.147
HR,23296286.pdf,SALES,0.147
HR,27419236.pdf,DIGITAL-MEDIA,0.147
BPO,18062906.pdf,SALES,0.147
INFORMATION-TECHNOLOGY,35302620.pdf,FITNESS,0.147
PUBLIC-RELATIONS,24184357.pdf,HR,0.147
INFORMATION-TECHNOLOGY,38642923.pdf,FITNESS,0.147
INFORMATION-TECHNOLOGY,27090089.pdf,HEALTHCARE,0.147
BPO,85417107.pdf,HEALTHCARE,0.147
ARTS,29797594.pdf,TEACHER,0.147
HEALTHCARE,37333719.pdf,ADVOCATE,0.147
CONSTRUCTION,25047127.pdf,AUTOMOBILE,0.147
CONSULTANT,13583538.pdf,TEACHER,0.147
CHEF,11409460.pdf,APPAREL,0.147
HR,20345168.pdf,ACCOUNTANT,0.147
CONSTRUCTION,59777056.pdf,FINANCE,0.147
ACCOUNTANT,17655479.pdf,AVIATION,0.147
ACCOUNTANT,28320387.pdf,ENGINEERING,0.147
ARTS,10969918.pdf,FITNESS,0.147
CONSULTANT,86322251.pdf,TEACHER,0.147
ADVOCATE,20488267.pdf,ARTS,0.147
TEACHER,29425788.pdf,FITNESS,0.147
ADVOCATE,50432401.pdf,ARTS,0.147
FINANCE,16877897.pdf,HR,0.147
BPO,42304307.pdf,SALES,0.147
ACCOUNTANT,23864858.pdf,DIGITAL-MEDIA,0.147
SALES,46260230.pdf,INFORMATION-TECHNOLOGY,0.147
PUBLIC-RELATIONS,28423028.pdf,HEALTHCARE,0.147
BPO,61319162.pdf,PUBLIC-RELATIONS,0.147
TEACHER,98086373.pdf,PUBLIC-RELATIONS,0.147
CONSTRUCTION,13405733.pdf,INFORMATION-TECHNOLOGY,0.147
FINANCE,38535335.pdf,ENGINEERING,0.147
DESIGNER,27914096.pdf,FINANCE,0.147
BPO,21853199.pdf,ACCOUNTANT,0.147
ADVOCATE,32069695.pdf,AUTOMOBILE,0.147
CHEF,24655918.pdf,DESIGNER,0.147
ADVOCATE,86184722.pdf,HR,0.147
BANKING,42546558.pdf,AVIATION,0.147
APPAREL,29142288.pdf,AGRICULTURE,0.147
SALES,16594812.pdf,CHEF,0.147
CONSTRUCTION,18752129.pdf,INFORMATION-TECHNOLOGY,0.147
BPO,37242217.pdf,INFORMATION-TECHNOLOGY,0.147
AVIATION,15573418.pdf,BPO,0.147
CHEF,11850315.pdf,PUBLIC-RELATIONS,0.147
BUSINESS-DEVELOPMENT,41910253.pdf,HEALTHCARE,0.147
CHEF,51724595.pdf,CONSULTANT,0.147
PUBLIC-RELATIONS,17131084.pdf,BANKING,0.147
INFORMATION-TECHNOLOGY,20544228.pdf,ADVOCATE,0.147
ARTS,11887930.pdf,AUTOMOBILE,0.147
CONSTRUCTION,43378989.pdf,CONSULTANT,0.147
CONSTRUCTION,18334783.pdf,HR,0.147
DESIGNER,17131084.pdf,BANKING,0.147
DESIGNER,17911230.pdf,ADVOCATE,0.147
CONSTRUCTION,27139412.pdf,BUSINESS-DEVELOPMENT,0.147
ARTS,26341987.pdf,DIGITAL-MEDIA,0.147
CONSTRUCTION,36574147.pdf,BUSINESS-DEVELOPMENT,0.147
CONSTRUCTION,14055971.pdf,BUSINESS-DEVELOPMENT,0.147
HR,21101152.pdf,CHEF,0.147
ENGINEERING,79570655.pdf,CONSULTANT,0.147
ENGINEERING,11835339.pdf,CONSULTANT,0.147
BPO,27372171.pdf,INFORMATION-TECHNOLOGY,0.147
HEALTHCARE,15941675.pdf,ENGINEERING,0.147
BPO,14789139.pdf,INFORMATION-TECHNOLOGY,0.147
BPO,30311202.pdf,CHEF,0.147
BUSINESS-DEVELOPMENT,25624652.pdf,BANKING,0.147
ENGINEERING,31211074.pdf,PUBLIC-RELATIONS,0.147
BPO,16203589.pdf,CONSTRUCTION,0.147
BPO,48580330.pdf,CHEF,0.147
BPO,29177904.pdf,ADVOCATE,0.147
CONSTRUCTION,25949631.pdf,DESIGNER,0.147
AVIATION,22168194.pdf,AVIATION,0.147
DIGITAL-MEDIA,24589765.pdf,AVIATION,0.147
ENGINEERING,21478007.pdf,PUBLIC-RELATIONS,0.147
ARTS,16877897.pdf,HR,0.147
CONSTRUCTION,17876954.pdf,AVIATION,0.147
PUBLIC-RELATIONS,13212436.pdf,CHEF,0.147
DESIGNER,52252936.pdf,APPAREL,0.147
TEACHER,85101052.pdf,DESIGNER,0.147
ENGINEERING,87968870.pdf,HR,0.147
APPAREL,16391949.pdf,APPAREL,0.147
BPO,27835351.pdf,CONSTRUCTION,0.147
BUSINESS-DEVELOPMENT,18569929.pdf,ACCOUNTANT,0.147
APPAREL,81373857.pdf,CHEF,0.147
CONSTRUCTION,26330995.pdf,PUBLIC-RELATIONS,0.147
SALES,28969385.pdf,ACCOUNTANT,0.147
BPO,21809601.pdf,ARTS,0.147
BUSINESS-DEVELOPMENT,32265203.pdf,CONSTRUCTION,0.147
FITNESS,47317494.pdf,CHEF,0.147
INFORMATION-TECHNOLOGY,11232471.pdf,APPAREL,0.147
DESIGNER,19234823.pdf,ADVOCATE,0.147
TEACHER,13477922.pdf,INFORMATION-TECHNOLOGY,0.147
FITNESS,17312146.pdf,AGRICULTURE,0.147
TEACHER,26958533.pdf,HEALTHCARE,0.147
BPO,65325317.pdf,ARTS,0.147
INFORMATION-TECHNOLOGY,16378091.pdf,CONSTRUCTION,0.147
DESIGNER,13675377.pdf,FITNESS,0.147
ACCOUNTANT,49285644.pdf,TEACHER,0.147
DIGITAL-MEDIA,28998957.pdf,APPAREL,0.147
HR,18062906.pdf,SALES,0.147
ARTS,38535335.pdf,ENGINEERING,0.147
ADVOCATE,22650051.pdf,AVIATION,0.147
AVIATION,22323967.pdf,HR,0.147
AGRICULTURE,17312146.pdf,AGRICULTURE,0.147
ARTS,16626724.pdf,CONSTRUCTION,0.147
CHEF,28020046.pdf,AVIATION,0.147
ADVOCATE,12955994.pdf,CONSULTANT,0.147
DIGITAL-MEDIA,14593060.pdf,CONSULTANT,0.147
BANKING,24673903.pdf,CHEF,0.147
CONSTRUCTION,86549455.pdf,FINANCE,0.147
HEALTHCARE,13405733.pdf,INFORMATION-TECHNOLOGY,0.147
AVIATION,27219200.pdf,BUSINESS-DEVELOPMENT,0.147
PUBLIC-RELATIONS,12635195.pdf,INFORMATION-TECHNOLOGY,0.147
PUBLIC-RELATIONS,14346702.pdf,CONSULTANT,0.147
DESIGNER,29449419.pdf,CHEF,0.147
CHEF,22506245.pdf,DESIGNER,0.147
INFORMATION-TECHNOLOGY,41910253.pdf,HEALTHCARE,0.147
TEACHER,31225895.pdf,APPAREL,0.147
ADVOCATE,25749150.pdf,ACCOUNTANT,0.147
INFORMATION-TECHNOLOGY,28942221.pdf,CONSTRUCTION,0.147
INFORMATION-TECHNOLOGY,24544244.pdf,AVIATION,0.147
APPAREL,61319162.pdf,PUBLIC-RELATIONS,0.147
AVIATION,63083944.pdf,CONSTRUCTION,0.147
HR,17658471.pdf,FITNESS,0.147
PUBLIC-RELATIONS,49325370.pdf,HEALTHCARE,0.147
PUBLIC-RELATIONS,25047127.pdf,AUTOMOBILE,0.147
TEACHER,11650031.pdf,CONSTRUCTION,0.147
HR,15261348.pdf,CHEF,0.147
ADVOCATE,27788376.pdf,CONSULTANT,0.147
HEALTHCARE,14346702.pdf,CONSULTANT,0.147
HR,24763208.pdf,ADVOCATE,0.147
ADVOCATE,92246939.pdf,CONSULTANT,0.147
SALES,11163645.pdf,ACCOUNTANT,0.147
PUBLIC-RELATIONS,23110214.pdf,HEALTHCARE,0.147
FINANCE,55104715.pdf,SALES,0.147
CHEF,55477468.pdf,SALES,0.147
INFORMATION-TECHNOLOGY,70667011.pdf,BANKING,0.147
ADVOCATE,29839396.pdf,BANKING,0.147
DESIGNER,41586420.pdf,APPAREL,0.147
ADVOCATE,20748468.pdf,HEALTHCARE,0.147
AVIATION,21570485.pdf,APPAREL,0.147
INFORMATION-TECHNOLOGY,16849128.pdf,AGRICULTURE,0.147
BPO,90066849.pdf,DESIGNER,0.147
TEACHER,29134721.pdf,SALES,0.147
SALES,25001005.pdf,PUBLIC-RELATIONS,0.147
ADVOCATE,15053703.pdf,AGRICULTURE,0.147
FITNESS,28609364.pdf,DIGITAL-MEDIA,0.147
ADVOCATE,17624934.pdf,HEALTHCARE,0.147
BANKING,28063132.pdf,TEACHER,0.147
HR,15636923.pdf,HEALTHCARE,0.147
BANKING,39413067.pdf,INFORMATION-TECHNOLOGY,0.147
CHEF,31850269.pdf,CONSTRUCTION,0.147
FINANCE,30594821.pdf,ARTS,0.147
CONSTRUCTION,36694627.pdf,ADVOCATE,0.147
DESIGNER,31926950.pdf,HEALTHCARE,0.146
ACCOUNTANT,18159866.pdf,INFORMATION-TECHNOLOGY,0.146
ACCOUNTANT,19201175.pdf,INFORMATION-TECHNOLOGY,0.146
APPAREL,20553895.pdf,BUSINESS-DEVELOPMENT,0.146
ADVOCATE,93653247.pdf,FINANCE,0.146
AVIATION,24285142.pdf,DESIGNER,0.146
CONSULTANT,26509539.pdf,CONSTRUCTION,0.146
BPO,19147947.pdf,SALES,0.146
INFORMATION-TECHNOLOGY,19867922.pdf,HR,0.146
AVIATION,11919526.pdf,DESIGNER,0.146
TEACHER,31114531.pdf,ARTS,0.146
AVIATION,20932019.pdf,DESIGNER,0.146
TEACHER,22182279.pdf,ARTS,0.146
SALES,10984392.pdf,CONSULTANT,0.146
INFORMATION-TECHNOLOGY,38907798.pdf,FINANCE,0.146
CONSTRUCTION,19070271.pdf,APPAREL,0.146
ADVOCATE,24491862.pdf,PUBLIC-RELATIONS,0.146
PUBLIC-RELATIONS,16121387.pdf,HEALTHCARE,0.146
INFORMATION-TECHNOLOGY,17276884.pdf,BANKING,0.146
CONSTRUCTION,18905648.pdf,DIGITAL-MEDIA,0.146
AGRICULTURE,26127853.pdf,PUBLIC-RELATIONS,0.146
HR,36805025.pdf,BUSINESS-DEVELOPMENT,0.146
SALES,59403481.pdf,ACCOUNTANT,0.146
CONSTRUCTION,26160200.pdf,DIGITAL-MEDIA,0.146
ENGINEERING,23032182.pdf,SALES,0.146
FINANCE,41950126.pdf,ARTS,0.146
APPAREL,29002596.pdf,DIGITAL-MEDIA,0.146
FITNESS,40018190.pdf,INFORMATION-TECHNOLOGY,0.146
TEACHER,13964744.pdf,BPO,0.146
HR,25328428.pdf,HEALTHCARE,0.146
FITNESS,95714702.pdf,ADVOCATE,0.146
CONSULTANT,30741799.pdf,ADVOCATE,0.146
ADVOCATE,23810469.pdf,DIGITAL-MEDIA,0.146
